DATE	COMPANY	Cluster_1	Cluster_2	Cluster_3	Cluster_4	Cluster_5	Cluster_6	Cluster_7	Cluster_8	Cluster_9	Cluster_10	Cluster_11	Cluster_12	Cluster_13	Cluster_14	Cluster_15	Cluster_16	Cluster_17	Cluster_18	Cluster_19	Cluster_20	Cluster_21	Cluster_22	Cluster_23	Cluster_24	Cluster_25	Cluster_26	Cluster_27	Cluster_28	Cluster_29	Cluster_30	Cluster_31	Cluster_32	Cluster_33	Cluster_34	Cluster_35	Cluster_36	Cluster_37	Cluster_38	Cluster_39	Cluster_40	Cluster_41	Cluster_42	Cluster_43	Cluster_44	Cluster_45	Cluster_46	Cluster_47	Cluster_48	Cluster_49	Cluster_50	Cluster_51	Cluster_52	Cluster_53	Cluster_54	Cluster_55	Cluster_56	Cluster_57	Cluster_58	Cluster_59	Cluster_60	Cluster_61	Cluster_62	Cluster_63	Cluster_64	Cluster_65	Cluster_66	Cluster_67	Cluster_68	Cluster_69	Cluster_70	Cluster_71	Cluster_72	Cluster_73	Cluster_74	Cluster_75	Cluster_76	Cluster_77	Cluster_78	Cluster_79	Cluster_80	Cluster_81	Cluster_82	Cluster_83	Cluster_84	Cluster_85	Cluster_86	Cluster_87	Cluster_88	Cluster_89	Cluster_90	Cluster_91	Cluster_92	Cluster_93	Cluster_94	Cluster_95	Cluster_96	Cluster_97	Cluster_98	Cluster_99	Cluster_100	Cluster_101	Cluster_102	Cluster_103	Cluster_104	Cluster_105	Cluster_106	Cluster_107	Cluster_108	Cluster_109	Cluster_110	Cluster_111	Cluster_112	Cluster_113	Cluster_114	Cluster_115	Cluster_116	Cluster_117	Cluster_118	Cluster_119	Cluster_120	Cluster_121	Cluster_122	Cluster_123	Cluster_124	Cluster_125	Cluster_126	Cluster_127	Cluster_128	Cluster_129	Cluster_130	Cluster_131	Cluster_132	Cluster_133	Cluster_134	Cluster_135	Cluster_136	Cluster_137	Cluster_138	Cluster_139	Cluster_140	Cluster_141	Cluster_142	Cluster_143	Cluster_144	Cluster_145	Cluster_146	Cluster_147	Cluster_148	Cluster_149	Cluster_150	Cluster_151	Cluster_152	Cluster_153	Cluster_154	Cluster_155	Cluster_156	Cluster_157	Cluster_158	Cluster_159	Cluster_160	Cluster_161	Cluster_162	Cluster_163	Cluster_164	Cluster_165	Cluster_166	Cluster_167	Cluster_168	Cluster_169	Cluster_170	Cluster_171	Cluster_172	Cluster_173	Cluster_174	Cluster_175	Cluster_176	Cluster_177	Cluster_178	Cluster_179	Cluster_180	Cluster_181	Cluster_182	Cluster_183	Cluster_184	Cluster_185	Cluster_186	Cluster_187	Cluster_188	Cluster_189	Cluster_190	Cluster_191	Cluster_192	Cluster_193	Cluster_194	Cluster_195	Cluster_196	Cluster_197	Cluster_198	Cluster_199	Cluster_200	Cluster_201	Cluster_202	Cluster_203	Cluster_204	Cluster_205	Cluster_206	Cluster_207	Cluster_208	Cluster_209	Cluster_210	Cluster_211	Cluster_212	Cluster_213	Cluster_214	Cluster_215	Cluster_216	Cluster_217	Cluster_218	Cluster_219	Cluster_220	Cluster_221	Cluster_222	Cluster_223	Cluster_224	Cluster_225	Cluster_226	Cluster_227	Cluster_228	Cluster_229	Cluster_230	Cluster_231	Cluster_232	Cluster_233	Cluster_234	
2016-09-19	Apple	5	7	13	37	20	19	7	8	2	8	3	14	21	37	20	63	34	5	114	16	6	6	6	10	4	70	3	28	17	16	18	4	25	28	7	8	18	28	7	12	99	14	5	3	8	18	13	20	10	10	13	20	18	13	15	6	31	2	17	118	4	4	15	30	8	42	9	5	15	10	42	5	4	11	9	10	2	14	14	3	6	38	7	14	12	9	7	129	24	13	11	28	15	10	4	2	1	4	10	7	4	20	4	3	5	0	13	10	6	0	1	5	2	1	1	2	6	8	3	4	35	6	0	21	8	1	10	5	13	0	0	0	2	0	1	0	0	23	2	20	7	1	10	2	6	0	0	6	2	2	6	3	1	8	17	10	1	4	5	2	23	5	7	15	1	4	10	0	0	1	1	3	11	7	4	2	5	1	1	20	4	4	3	4	6	1	2	10	4	6	5	3	4	0	10	3	8	6	4	1	2	0	13	22	3	1	2	0	7	3	9	8	7	4	3	6	4	18	2	3	5	5	4	5	7	1	10	6	3	5	1	9	7	6	
2016-09-20	Apple	1	21	72	59	24	11	14	44	3	20	7	31	77	29	35	53	27	4	145	22	3	10	17	10	2	87	6	13	24	36	23	2	35	57	7	9	15	36	34	22	122	13	7	4	7	39	25	30	4	49	14	55	27	23	13	12	33	3	29	182	3	18	12	49	18	65	11	6	33	9	62	8	9	1	6	8	7	12	12	1	9	39	5	30	11	5	8	124	21	53	12	36	18	11	2	0	4	2	14	14	6	23	7	6	5	1	9	10	4	0	5	6	6	2	1	23	3	7	1	23	25	4	2	20	5	2	32	3	9	5	1	3	1	0	1	2	3	13	4	15	7	12	5	0	6	2	1	6	1	5	18	4	4	5	16	4	3	6	8	2	6	1	9	1	5	3	3	1	1	4	1	1	8	7	2	2	7	11	2	16	6	3	13	4	5	0	3	6	2	7	3	1	1	1	8	7	11	3	0	9	1	5	32	5	4	1	5	3	13	6	5	2	8	2	4	7	0	3	7	1	13	5	12	4	24	6	13	25	6	9	2	23	8	4	
2016-09-21	Apple	6	16	30	49	21	16	10	4	6	8	11	33	33	30	21	6	27	9	198	18	4	46	11	15	11	25	5	7	17	15	11	9	53	60	12	5	16	26	10	29	116	87	12	5	12	29	12	77	16	14	18	35	21	20	14	5	32	6	32	133	3	12	20	36	36	31	11	3	20	20	35	12	7	4	6	8	6	6	47	3	19	44	10	11	20	6	7	25	19	32	10	36	12	22	3	2	4	4	12	7	10	15	6	12	10	1	14	10	21	31	1	9	5	3	0	3	1	8	1	2	25	3	6	15	12	2	17	10	10	8	1	1	1	1	1	2	1	34	2	17	3	3	8	3	4	1	1	0	2	3	10	3	2	5	30	4	8	17	6	6	2	11	14	5	5	5	4	2	2	2	3	3	10	21	2	5	10	6	9	11	3	2	5	5	5	3	1	8	2	9	24	3	1	2	7	8	11	7	0	7	3	3	5	16	11	2	2	2	12	8	2	3	3	1	3	5	4	5	5	0	5	2	7	7	19	6	13	25	5	2	1	17	12	5	
2016-09-22	Apple	32	20	53	78	15	13	11	7	7	13	9	22	31	32	28	56	47	4	177	13	2	6	12	22	2	64	1	6	62	16	13	5	41	54	11	8	14	31	9	18	135	22	10	0	4	55	16	82	7	7	14	56	17	61	10	14	66	5	19	170	2	4	13	30	10	40	13	9	32	6	43	9	7	4	11	10	6	15	7	5	24	40	8	93	14	5	15	108	13	29	17	33	67	19	2	2	4	2	10	6	4	14	4	5	11	2	20	15	4	10	2	4	1	0	2	1	6	7	6	2	22	2	3	14	7	0	24	5	2	4	3	2	0	1	0	0	0	24	13	9	1	3	4	0	4	1	2	5	1	7	11	2	3	5	17	2	6	13	3	3	3	6	8	3	3	10	5	3	6	1	1	1	5	54	7	3	9	7	7	20	5	1	5	2	5	1	11	0	0	5	5	4	3	3	9	6	7	4	0	1	3	2	4	6	5	2	7	1	11	4	2	1	6	4	4	3	0	6	8	1	7	1	7	3	18	3	8	15	1	2	3	11	5	3	
2016-09-23	Apple	2	40	26	39	12	5	15	6	0	14	3	70	12	44	18	31	20	4	259	18	1	8	11	32	8	48	7	12	6	18	43	3	22	57	4	7	7	32	4	12	134	10	10	7	15	125	64	16	7	5	4	24	11	21	10	10	23	2	5	202	1	4	6	135	4	140	5	3	13	4	133	6	12	5	1	10	4	5	16	3	21	42	6	12	15	4	7	62	43	40	11	38	10	11	2	1	22	1	20	6	7	18	4	8	10	2	14	8	6	5	1	3	5	1	0	0	6	11	1	3	35	5	0	21	27	1	14	5	4	4	1	1	0	0	2	1	0	27	3	10	8	2	12	6	3	2	2	5	4	4	5	6	19	2	29	4	5	59	3	5	2	5	10	1	3	3	4	2	2	0	0	4	18	9	5	5	3	5	21	19	3	4	5	4	3	1	4	11	5	5	9	105	1	3	10	10	11	1	0	3	0	1	5	56	11	4	1	1	22	2	0	5	5	1	5	6	2	2	4	1	6	0	9	7	18	4	13	20	2	2	1	9	6	2	
2016-09-24	Apple	6	9	38	24	9	16	9	7	3	13	5	18	32	26	33	62	25	5	177	14	1	11	17	16	3	61	12	12	6	28	58	2	12	37	7	5	14	38	3	18	130	17	8	3	11	34	15	13	8	8	8	69	12	19	9	19	23	2	23	149	5	14	6	29	7	36	9	2	14	8	43	7	12	6	1	4	5	12	16	1	17	30	3	12	8	10	7	106	95	39	9	27	12	9	1	0	6	3	8	3	4	7	1	9	3	2	7	6	2	4	3	7	4	0	0	3	4	8	3	3	51	4	1	8	6	0	16	5	6	1	3	0	0	1	1	2	1	9	1	12	2	10	1	2	1	0	1	1	0	34	3	2	0	2	12	5	1	28	5	8	2	6	6	0	1	1	4	1	2	1	1	0	5	10	0	2	4	1	6	18	6	1	5	4	3	0	4	6	2	3	2	26	1	2	2	3	3	2	1	4	2	1	3	17	4	3	2	3	12	5	3	1	2	4	2	3	2	4	3	2	5	0	31	2	22	4	5	25	1	9	2	11	37	2	
2016-09-25	Apple	5	10	32	32	11	11	22	27	0	7	5	25	34	37	35	21	16	2	94	10	4	9	16	14	3	18	4	7	14	27	22	2	20	80	19	1	12	32	27	8	61	11	13	5	7	78	12	19	4	26	8	127	14	65	11	14	26	9	15	82	1	4	11	36	6	49	20	2	23	8	50	9	10	5	6	8	4	18	12	3	27	41	2	13	12	2	7	15	23	28	18	41	15	11	1	1	5	3	9	3	4	13	0	3	4	0	19	18	4	1	1	12	3	0	0	2	1	12	0	2	47	3	14	12	4	1	16	2	6	6	2	0	0	0	1	1	0	7	8	10	2	4	6	3	2	1	0	1	2	23	2	1	4	0	13	3	2	15	9	2	2	4	8	2	1	3	5	0	5	0	2	2	4	4	4	6	1	2	4	11	2	1	4	2	8	0	3	3	0	6	6	7	4	2	7	3	5	4	1	3	4	4	1	10	1	1	1	1	12	1	4	3	5	1	1	16	2	7	3	1	4	3	26	4	22	4	5	26	1	2	2	13	29	4	
2016-09-26	Apple	1	18	21	43	19	11	22	14	5	24	8	18	24	25	40	24	23	6	131	19	3	13	19	21	6	41	4	11	17	30	29	3	31	44	15	6	14	64	15	11	92	14	13	4	10	49	18	25	12	18	10	51	14	35	14	21	26	10	16	103	4	12	11	51	16	60	17	7	17	10	56	9	9	5	2	8	5	15	21	1	18	32	6	20	17	5	10	34	19	22	12	30	18	14	0	1	5	0	13	7	14	26	3	11	10	2	14	16	4	1	0	6	3	3	0	1	3	7	1	7	39	6	9	16	4	1	26	8	5	3	1	1	0	1	2	1	3	19	11	18	5	2	11	7	11	2	3	2	1	22	10	5	1	2	17	4	1	23	7	2	5	6	16	3	6	4	8	0	3	0	7	5	14	12	4	3	5	9	6	17	4	0	9	10	9	1	8	2	3	10	7	6	1	4	20	15	15	3	0	3	1	5	4	11	6	2	2	2	14	6	2	2	9	2	4	10	3	12	4	2	8	4	19	5	22	2	9	22	4	1	4	15	23	6	
2016-09-27	Apple	7	25	41	38	15	11	12	7	2	13	9	24	32	44	28	14	24	7	125	17	1	9	20	11	11	29	9	7	19	20	20	7	45	59	19	7	9	31	8	18	101	16	12	2	5	38	23	20	4	5	8	27	20	19	13	10	32	5	19	119	1	9	13	31	10	37	12	13	25	11	43	13	9	5	10	13	8	13	19	3	14	49	4	15	23	5	6	25	22	29	13	49	6	15	1	0	4	4	7	6	8	16	2	41	2	4	6	15	7	2	1	8	3	1	2	1	4	6	0	3	25	7	2	13	7	4	13	6	12	5	4	1	0	1	1	0	3	12	4	13	3	2	6	4	3	2	1	1	1	8	10	4	8	1	13	29	1	15	12	7	1	6	10	5	3	7	5	0	2	0	5	2	17	9	1	2	7	4	3	10	4	2	3	33	9	0	6	4	4	5	7	4	5	3	6	6	11	0	1	3	3	1	12	14	4	2	4	2	7	2	3	3	6	3	2	5	3	5	2	0	5	2	11	5	17	4	7	16	3	5	3	8	13	7	
2016-09-28	Apple	6	10	26	46	15	7	16	15	10	11	1	19	27	58	21	23	25	7	123	12	1	13	18	6	4	38	7	7	40	28	28	0	33	52	13	9	24	26	7	20	90	11	8	4	8	30	23	19	7	10	18	48	14	38	13	15	40	12	14	97	1	3	11	37	12	42	19	21	20	8	54	13	9	4	2	5	24	19	28	4	3	59	6	17	15	7	9	47	29	30	14	64	8	9	3	0	3	0	17	6	25	16	2	7	5	2	8	16	1	2	2	7	5	0	1	0	2	8	0	7	25	3	0	20	3	2	10	7	4	1	5	0	1	2	0	3	0	16	7	17	1	3	9	1	4	4	0	1	0	5	3	3	30	3	10	5	3	11	12	7	4	3	6	4	2	3	7	1	3	2	5	2	7	11	2	2	7	5	0	25	4	0	5	5	3	2	1	2	27	7	4	3	4	3	5	5	7	6	0	36	0	3	7	6	5	1	6	1	16	3	0	1	8	0	1	7	0	1	4	0	26	7	9	2	20	4	7	16	0	6	5	11	5	2	
2016-09-29	Apple	4	12	17	33	10	12	8	6	2	10	5	9	33	25	14	17	23	6	128	11	5	13	17	16	6	18	7	37	30	22	56	2	25	31	16	7	23	27	9	7	116	25	2	12	4	28	9	26	3	8	17	35	51	22	15	14	27	3	27	141	1	8	18	26	9	37	16	7	11	10	44	3	7	2	9	8	7	10	42	2	10	28	5	14	9	3	6	20	53	20	10	44	37	10	3	1	4	2	8	2	7	12	6	5	5	3	10	10	3	3	0	6	0	0	0	1	23	4	4	6	25	10	1	11	1	2	16	5	6	2	0	1	0	1	1	0	0	17	2	19	3	1	5	1	6	0	4	10	0	0	8	4	7	3	20	2	2	15	7	5	2	2	14	2	0	3	6	0	2	0	4	3	12	11	0	5	3	6	4	12	4	5	2	4	5	1	4	2	4	9	4	8	10	3	6	8	7	4	2	9	1	4	6	14	5	2	2	2	12	5	2	1	5	4	4	14	0	7	2	3	10	4	4	6	11	2	8	14	3	3	5	13	5	10	
2016-09-30	Apple	4	32	46	38	15	8	14	11	7	12	5	42	24	29	34	49	35	5	133	12	2	12	24	9	6	57	3	8	16	22	30	10	25	40	9	10	10	49	11	26	101	13	5	8	9	27	37	18	8	13	10	30	21	18	15	7	43	4	16	135	1	17	15	39	23	45	6	23	20	9	55	11	5	4	3	10	6	10	19	3	5	33	11	15	16	5	6	96	36	30	10	30	13	13	1	2	5	2	14	1	5	8	2	4	4	3	10	16	7	1	5	10	25	1	3	1	5	9	1	2	17	3	4	14	4	2	12	4	8	0	2	1	0	0	6	1	21	13	4	16	6	4	9	3	3	0	2	1	0	5	5	18	1	0	14	3	4	15	8	4	4	4	7	8	5	6	10	0	1	1	2	2	10	7	2	2	5	3	11	14	6	2	5	6	3	2	3	1	4	5	6	6	4	1	27	3	5	0	0	5	1	21	5	3	5	24	2	2	33	4	3	5	12	1	3	7	26	2	4	1	3	3	5	2	12	1	4	13	1	4	1	8	9	3	
2016-10-01	Apple	3	15	26	25	11	8	18	9	4	6	4	30	34	28	18	46	20	2	112	5	0	10	12	6	4	52	2	7	11	19	19	4	38	37	13	9	12	25	4	10	84	12	13	2	4	17	17	11	1	8	5	27	14	19	9	10	26	4	11	95	3	9	9	35	10	39	12	9	13	6	50	7	8	2	0	10	9	14	12	1	8	33	5	10	18	4	5	91	27	21	10	40	4	12	2	2	4	4	13	1	2	7	1	5	5	2	11	16	3	1	2	5	5	10	0	0	1	4	4	1	23	4	1	12	0	4	9	4	7	1	0	0	0	0	2	0	8	16	1	40	5	1	4	4	1	0	1	0	0	2	11	8	7	1	4	4	5	8	7	3	1	2	8	2	2	1	6	0	4	0	2	3	5	8	1	4	2	2	1	15	0	1	2	2	7	4	2	1	5	6	8	0	2	1	6	3	5	1	1	5	1	7	5	11	1	3	4	3	17	4	2	1	9	3	1	5	8	3	2	2	7	3	3	4	19	0	3	21	2	2	1	9	6	2	
2016-10-02	Apple	2	4	6	7	4	3	4	1	2	2	3	7	12	14	7	32	4	4	25	4	1	4	3	4	1	32	0	2	3	12	3	3	18	19	4	1	7	7	0	4	28	4	0	0	1	7	4	3	1	1	5	7	7	4	5	4	7	0	5	22	1	0	5	11	4	22	3	3	1	4	17	0	4	0	3	0	2	10	6	2	6	11	0	4	12	1	1	59	4	6	3	14	1	15	1	1	1	1	4	1	1	3	0	6	1	1	1	3	0	0	0	2	1	2	0	0	2	1	2	1	5	3	0	3	2	0	4	1	0	2	0	1	0	1	0	0	0	2	0	10	1	0	0	1	1	0	0	0	0	0	3	2	0	5	3	1	0	2	1	0	0	2	3	1	1	1	0	0	0	0	0	0	3	0	0	1	0	0	0	9	1	0	1	4	1	1	0	0	1	4	1	0	1	0	2	2	1	0	0	1	1	2	0	1	2	1	0	0	5	0	1	0	3	0	0	2	2	0	2	0	3	0	4	0	3	0	2	3	2	2	0	3	3	1	
2016-10-03	Apple	6	14	24	38	15	13	10	10	6	13	5	27	37	30	23	65	43	6	122	6	2	13	13	48	11	69	10	7	8	25	20	6	48	68	10	8	20	32	8	14	88	15	9	7	8	77	18	14	5	8	18	63	20	40	22	12	37	6	20	98	3	10	17	33	9	43	15	10	14	12	55	7	10	4	3	8	6	10	14	4	47	33	9	13	11	6	9	115	20	29	8	41	8	12	6	1	2	3	34	4	3	10	3	8	29	2	6	16	24	3	2	10	0	0	1	2	1	5	2	5	18	7	2	9	2	1	17	3	12	2	0	21	0	1	3	2	3	11	8	35	3	2	1	3	1	1	2	3	3	0	12	2	5	5	11	4	2	12	11	7	4	1	13	26	1	8	8	1	1	2	5	0	13	43	2	33	3	4	5	36	6	1	3	4	5	0	1	5	7	6	24	5	2	1	9	1	9	1	1	4	2	3	7	5	2	2	3	1	36	6	5	2	5	1	0	2	0	2	33	0	30	2	8	2	14	1	6	12	5	12	4	16	15	6	
2016-10-04	Apple	6	14	45	38	22	14	17	7	0	5	5	47	35	37	25	26	37	5	143	18	1	12	22	32	2	37	2	3	14	29	15	3	52	67	8	5	14	37	11	38	122	37	10	9	5	52	17	17	6	14	13	49	16	25	11	16	29	6	23	137	2	29	15	53	9	44	9	6	20	12	49	11	10	6	5	14	5	16	14	2	33	53	6	17	22	1	1	39	27	28	12	40	13	28	4	0	2	1	11	6	3	17	7	12	8	3	6	14	13	4	1	3	5	0	2	1	4	6	2	3	25	3	2	14	5	4	13	5	3	4	2	0	0	1	1	0	1	17	3	22	6	2	5	2	7	0	2	4	3	4	8	3	5	3	5	9	4	9	7	3	3	7	10	5	10	6	5	1	1	0	3	7	18	14	2	3	5	7	4	14	4	0	9	6	8	0	2	4	4	10	13	2	2	0	6	4	8	4	0	4	0	4	7	4	0	2	2	1	11	1	3	4	10	3	2	5	4	1	5	1	3	4	5	4	18	3	10	14	2	4	0	8	1	3	
