Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-07-01,73.13,73.17,72.415,72.81,7638181.0,0.0,1.0,71.1318798388,71.1707869247,70.4364156779,70.8206231514,7638181.0
2016-07-05,72.75,73.62,72.68,73.14,10748626.0,0.0,1.0,70.7622625225,71.6084916414,70.6941751222,71.1416066103,10748626.0
2016-07-06,73.26,73.98,73.17,73.82,11062713.0,0.0,1.0,71.2583278681,71.9586554147,71.1707869247,71.803027071,11062713.0
2016-07-07,73.73,73.9321,73.15,73.53,7486861.0,0.0,1.0,71.7154861276,71.9120641793,71.1513333818,71.520950698,7486861.0
2016-07-08,73.82,73.85,73.24,73.84,9127565.0,0.0,1.0,71.803027071,71.8322073854,71.2388743251,71.8224806139,9127565.0
2016-07-11,73.67,74.35,73.5,74.06,9040070.0,0.0,1.0,71.6571254988,72.3185459595,71.4917703836,72.0364695865,9040070.0
2016-07-12,73.56,73.73,73.0,73.27,12360974.0,0.0,1.0,71.5501310125,71.7154861276,71.0054318096,71.2680546395,12360974.0
2016-07-13,73.25,73.63,72.94,73.62,6393864.0,0.0,1.0,71.2486010966,71.6182184128,70.9470711807,71.6084916414,6393864.0
2016-07-14,73.79,74.11,73.61,73.7,6646248.0,0.0,1.0,71.7738467565,72.0851034439,71.5987648699,71.6863058132,6646248.0
2016-07-15,73.98,74.01,73.44,73.67,5994480.0,0.0,1.0,71.9586554147,71.9878357291,71.4334097547,71.6571254988,5994480.0
2016-07-18,73.64,74.18,73.53,73.84,5457237.0,0.0,1.0,71.6279451843,72.1531908443,71.520950698,71.8224806139,5457237.0
2016-07-19,73.64,73.96,73.585,73.66,4797883.0,0.0,1.0,71.6279451843,71.9392018717,71.5744479412,71.6473987273,4797883.0
2016-07-20,73.88,74.11,73.63,73.79,5281885.0,0.0,1.0,71.8613876999,72.0851034439,71.6182184128,71.7738467565,5281885.0
2016-07-21,73.43,73.656,73.14,73.52,4432231.0,0.0,1.0,71.4236829832,71.6435080187,71.1416066103,71.5112239266,4432231.0
2016-07-22,73.76,73.91,73.42,73.55,4316633.0,0.0,1.0,71.7446664421,71.8905680143,71.4139562117,71.540404241,4316633.0
2016-07-25,73.55,73.835,73.41,73.75,4733874.0,0.0,1.0,71.540404241,71.8176172282,71.4042294403,71.7349396706,4733874.0
2016-07-26,73.71,74.07,73.41,73.73,5248083.0,0.0,1.0,71.6960325847,72.046196358,71.4042294403,71.7154861276,5248083.0
2016-07-27,73.66,73.82,73.135,73.32,5771470.0,0.0,1.0,71.6473987273,71.803027071,71.1367432245,71.3166884969,5771470.0
2016-07-28,73.14,73.32,72.47,73.24,4603167.0,0.0,1.0,71.1416066103,71.3166884969,70.4899129211,71.2388743251,4603167.0
2016-07-29,73.17,73.25,72.76,72.97,6302187.0,0.0,1.0,71.1707869247,71.2486010966,70.771989294,70.9762514951,6302187.0
2016-08-01,72.81,73.99,72.81,73.78,5866120.0,0.0,1.0,70.8206231514,71.9683821861,70.8206231514,71.7641199851,5866120.0
2016-08-02,73.7,73.72,72.63,73.13,6513056.0,0.0,1.0,71.6863058132,71.7057593562,70.6455412648,71.1318798388,6513056.0
2016-08-03,73.0,73.4,72.51,72.94,6567966.0,0.0,1.0,71.0054318096,71.3945026688,70.528820007,70.9470711807,6567966.0
2016-08-04,72.8,73.49,72.59,73.3,4944707.0,0.0,1.0,70.8108963799,71.4820436121,70.6066341788,71.297234954,4944707.0
2016-08-05,73.46,73.95,73.46,73.76,5415442.0,0.0,1.0,71.4528632977,71.9294751002,71.4528632977,71.7446664421,5415442.0
2016-08-08,74.0,74.07,73.04,73.34,6577147.0,0.0,1.0,71.9781089576,72.046196358,71.0443388955,71.3361420399,6577147.0
2016-08-09,73.36,73.88,73.08,73.54,6427875.0,0.0,1.0,71.3555955829,71.8613876999,71.0832459814,71.5306774695,6427875.0
2016-08-10,73.57,74.51,73.39,73.95,8052272.0,0.5,1.0,72.0436972551,72.9641957656,71.8674315829,72.4158136743,8052272.0
2016-08-11,74.5,74.8,73.53,73.8,6290331.0,0.0,1.0,72.9544032283,73.2481793487,72.0045271057,72.2689256141,6290331.0
2016-08-12,73.8,74.12,73.56,73.89,9993651.0,0.0,1.0,72.2689256141,72.5822868091,72.0339047178,72.3570584502,9993651.0
2016-08-15,73.81,74.01,73.11,73.32,9636116.0,0.0,1.0,72.2787181514,72.4745688983,71.5932405372,71.7988838215,9636116.0
2016-08-16,72.59,73.31,72.21,72.89,9763349.0,0.0,1.0,71.0840285952,71.7890912841,70.711912176,71.3778047156,9763349.0
2016-08-17,71.99,72.95,71.99,72.93,14332077.0,0.0,1.0,70.4964763544,71.4365599397,70.4964763544,71.416974865,14332077.0
2016-08-18,74.94,75.19,73.87,74.3,26858329.0,0.0,1.0,73.3852748715,73.6300883052,72.3374733755,72.7585524814,26858329.0
2016-08-19,74.1,74.29,72.67,72.81,15345507.0,0.0,1.0,72.5627017345,72.748759944,71.162368894,71.2994644168,15345507.0
2016-08-22,73.06,73.14,72.45,72.7,10312074.0,0.0,1.0,71.5442778505,71.6226181492,70.9469330724,71.191746506,10312074.0
2016-08-23,72.89,73.07,71.96,71.97,9390940.0,0.0,1.0,71.3778047156,71.5540703878,70.4670987424,70.4768912797,9390940.0
2016-08-24,71.97,72.75,71.76,72.23,10050580.0,0.0,1.0,70.4768912797,71.2407091927,70.2712479955,70.7314972507,10050580.0
2016-08-25,72.37,72.58,71.05,71.22,10513910.0,0.0,1.0,70.8685927736,71.0742360579,69.5759778439,69.7424509788,10513910.0
2016-08-26,71.41,71.69,70.89,71.14,10038464.0,0.0,1.0,69.9285091884,70.202700234,69.4192972464,69.66411068,10038464.0
2016-08-29,71.14,71.66,71.1,71.4,7467288.0,0.0,1.0,69.66411068,70.173322622,69.6249405306,69.918716651,7467288.0
2016-08-30,71.76,71.76,71.15,71.31,5772930.0,0.0,1.0,70.2712479955,70.2712479955,69.6739032174,69.8305838149,5772930.0
2016-08-31,71.46,71.64,71.15,71.44,6311636.0,0.0,1.0,69.9774718751,70.1537375473,69.6739032174,69.9578868004,6311636.0
2016-09-01,71.57,72.86,71.41,72.84,11761356.0,0.0,1.0,70.0851897859,71.3484271035,69.9285091884,71.3288420289,11761356.0
2016-09-02,72.99,73.19,72.415,72.5,8082939.0,0.0,1.0,71.475730089,71.671580836,70.9126591916,70.9958957591,8082939.0
2016-09-06,72.76,73.08,72.2,73.0,9569405.0,0.0,1.0,71.2505017301,71.5638629252,70.7021196387,71.4855226264,9569405.0
2016-09-07,73.0,73.05,72.01,72.06,9618272.0,0.0,1.0,71.4855226264,71.5344853131,70.5160614291,70.5650241159,9618272.0
2016-09-08,71.89,72.32,71.71,71.83,9661224.0,0.0,1.0,70.398550981,70.8196300869,70.2222853087,70.3397957569,9661224.0
2016-09-09,71.32,71.5099,70.3,70.3,12172571.0,0.0,1.0,69.8403763522,70.0263366364,68.8415375429,68.8415375429,12172571.0
2016-09-12,70.79,72.24,70.72,71.94,10864043.0,0.0,1.0,69.3213718729,70.7412897881,69.2528241115,70.4475136677,10864043.0
2016-09-13,71.84,71.91,71.15,71.46,7507915.0,0.0,1.0,70.3495882942,70.4181360557,69.6739032174,69.9774718751,7507915.0
2016-09-14,71.62,72.06,71.4,71.52,6980444.0,0.0,1.0,70.1341524726,70.5650241159,69.918716651,70.0362270992,6980444.0
2016-09-15,71.48,72.56,71.26,72.4,7331924.0,0.0,1.0,69.9970569498,71.0546509832,69.7816211282,70.8979703856,7331924.0
2016-09-16,72.32,72.96,72.22,72.87,13935682.0,0.0,1.0,70.8196300869,71.446352477,70.7217047134,71.3582196409,13935682.0
2016-09-19,72.64,72.87,72.09,72.09,6920427.0,0.0,1.0,71.1329912819,71.3582196409,70.5944017279,70.5944017279,6920427.0
2016-09-20,72.15,72.55,71.9,71.97,5910377.0,0.0,1.0,70.653156952,71.0448584458,70.4083435183,70.4768912797,5910377.0
2016-09-21,72.18,72.54,71.5126,72.19,6675884.0,0.0,1.0,70.682534564,71.0350659085,70.0289806215,70.6923271014,6675884.0
2016-09-22,72.43,72.54,71.99,72.27,5869871.0,0.0,1.0,70.9273479977,71.0350659085,70.4964763544,70.7706674001,5869871.0
2016-09-23,72.6,72.77,72.34,72.35,7696443.0,0.0,1.0,71.0938211325,71.2602942674,70.8392151615,70.8490076989,7696443.0
2016-09-26,72.31,72.33,71.52,71.62,5948669.0,0.0,1.0,70.8098375495,70.8294226242,70.0362270992,70.1341524726,5948669.0
2016-09-27,71.93,72.49,71.58,72.33,6344407.0,0.0,1.0,70.4377211304,70.9861032217,70.0949823232,70.8294226242,6344407.0
2016-09-28,72.22,72.32,71.38,71.79,6181910.0,0.0,1.0,70.7217047134,70.8196300869,69.8991315763,70.3006256075,6181910.0
2016-09-29,71.57,71.71,70.62,70.73,7994362.0,0.0,1.0,70.0851897859,70.2222853087,69.154898738,69.2626166488,7994362.0
2016-09-30,71.5,72.455,71.4,72.12,9972842.0,0.0,1.0,70.0166420245,70.951829341,69.918716651,70.6237793399,9972842.0
2016-10-03,71.83,72.145,71.6,72.01,5857243.0,0.0,1.0,70.3397957569,70.6482606833,70.1145673979,70.5160614291,5857243.0
2016-10-04,72.0,72.57,71.55,71.75,6569284.0,0.0,1.0,70.5062688918,71.0644435205,70.0656047112,70.2614554581,6569284.0
2016-10-05,71.87,72.265,71.6,71.67,6464442.0,0.0,1.0,70.3789659063,70.7657711314,70.1145673979,70.1831151594,6464442.0
2016-10-06,70.2,70.43,68.89,69.36,20109218.0,0.0,1.0,68.7436121695,68.9688405284,67.4607897771,67.9210390324,20109218.0
2016-10-07,69.26,69.47,68.17,68.7,12648149.0,0.0,1.0,67.823113659,68.0287569432,66.7557270882,67.2747315676,12648149.0
2016-10-10,68.75,68.96,67.75,67.98,8988413.0,0.0,1.0,67.3236942543,67.5293375386,66.3444405197,66.5696688787,8988413.0
2016-10-11,67.95,67.96,67.3,67.39,8591494.0,0.0,1.0,66.5402912666,66.550083804,65.9037763391,65.9919091752,8591494.0
2016-10-12,67.74,67.91,67.3699,67.46,8939472.0,0.0,1.0,66.3346479823,66.5011211172,65.9722261752,66.0604569367,8939472.0
2016-10-13,67.19,68.54,67.07,68.23,9193819.0,0.0,1.0,65.7960584283,67.11805097,65.6785479802,66.8144823123,9193819.0
2016-10-14,68.42,68.81,68.21,68.45,6415908.0,0.0,1.0,67.0005405219,67.3824494784,66.7948972376,67.0299181339,6415908.0
2016-10-17,68.65,68.65,67.8,68.22,7493385.0,0.0,1.0,67.2257688808,67.2257688808,66.3934032064,66.804689775,7493385.0
2016-10-18,68.57,68.98,68.23,68.87,7857699.0,0.0,1.0,67.1474285821,67.5489226133,66.8144823123,67.4412047025,7857699.0
2016-10-19,69.22,69.34,68.695,68.89,7123273.0,0.0,1.0,67.7839435096,67.9014539577,67.2698352989,67.4607897771,7123273.0
2016-10-20,68.98,69.08,68.57,68.73,6292827.0,0.0,1.0,67.5489226133,67.6468479867,67.1474285821,67.3041091796,6292827.0
2016-10-21,68.34,68.63,67.99,68.34,7839538.0,0.0,1.0,66.9222002231,67.2061838061,66.579461416,66.9222002231,7839538.0
2016-10-24,68.62,69.37,68.39,69.19,7163632.0,0.0,1.0,67.1963912688,67.9308315698,66.9711629098,67.7545658975,7163632.0
2016-10-25,69.01,69.87,69.0,69.36,7629748.0,0.0,1.0,67.5783002253,68.4204584371,67.568507688,67.9210390324,7629748.0
2016-10-26,69.3,69.81,69.14,69.59,5046878.0,0.0,1.0,67.8622838083,68.361703213,67.7056032108,68.1462673914,5046878.0
2016-10-27,69.6,70.0,69.39,69.83,7131613.0,0.0,1.0,68.1560599287,68.5477614226,67.9504166445,68.3812882877,7131613.0
2016-10-28,69.8,70.21,69.73,69.99,6952758.0,0.0,1.0,68.3519106756,68.7534047068,68.2833629142,68.5379688852,6952758.0
2016-10-31,70.06,70.17,69.85,70.02,6389047.0,0.0,1.0,68.6065166466,68.7142345574,68.4008733624,68.5673464973,6389047.0
2016-11-01,69.98,70.06,69.14,69.3,8838558.0,0.0,1.0,68.5281763479,68.6065166466,67.7056032108,67.8622838083,8838558.0
2016-11-02,69.2,69.97,69.2,69.45,7645275.0,0.0,1.0,67.7643584349,68.5183838105,67.7643584349,68.0091718685,7645275.0
2016-11-03,69.63,70.08,69.35,69.63,6803817.0,0.0,1.0,68.1854375408,68.6261017213,67.9112464951,68.1854375408,6803817.0
2016-11-04,69.71,69.94,69.13,69.16,7261905.0,0.0,1.0,68.2637778395,68.4890061985,67.6958106735,67.7251882855,7261905.0
2016-11-07,69.62,69.84,69.16,69.78,9755441.0,0.0,1.0,68.1756450034,68.391080825,67.7251882855,68.3323256009,9755441.0
2016-11-08,69.71,70.04,69.47,69.79,7621195.0,0.0,1.0,68.2637778395,68.5869315719,68.0287569432,68.3421181383,7621195.0
2016-11-09,69.3,71.5,69.29,71.1,16779465.0,0.0,1.0,67.8622838083,70.0166420245,67.852491271,69.6249405306,16779465.0
2016-11-10,71.25,72.09,71.0,71.39,14321257.0,0.0,1.0,69.7718285908,70.5944017279,69.5270151572,69.9089241137,14321257.0
2016-11-11,71.11,71.28,70.6,71.23,8223872.0,0.0,1.0,69.634733068,69.8012062029,69.1353136633,69.7522435161,8223872.0
2016-11-14,71.16,71.31,70.19,70.49,12917474.0,0.0,1.0,69.6836957547,69.8305838149,68.7338196321,69.0275957525,12917474.0
2016-11-15,70.79,71.42,70.35,71.42,9725063.0,0.0,1.0,69.3213718729,69.9383017257,68.8905002297,69.9383017257,9725063.0
2016-11-16,71.75,72.06,71.33,71.39,11185658.0,0.0,1.0,70.2614554581,70.5650241159,69.8501688896,69.9089241137,11185658.0
2016-11-17,69.08,69.52,68.12,69.19,23436461.0,0.0,1.0,67.6468479867,68.07771963,66.7067644015,67.7545658975,23436461.0
2016-11-18,68.93,69.4,68.44,68.54,11135265.0,0.0,1.0,67.4999599265,67.9602091818,67.0201255966,67.11805097,11135265.0
2016-11-21,68.61,69.4,68.42,69.37,8355966.0,0.0,1.0,67.1865987315,67.9602091818,67.0005405219,67.9308315698,8355966.0
2016-11-22,69.73,70.42,69.73,70.12,10984049.0,0.0,1.0,68.2833629142,68.9590479911,68.2833629142,68.6652718707,10984049.0
2016-11-23,70.22,70.885,70.18,70.83,7442550.0,0.0,1.0,68.7631972442,69.4144009777,68.7240270948,69.3605420223,7442550.0
2016-11-25,71.11,71.65,70.98,71.23,4234383.0,0.0,1.0,69.634733068,70.1635300847,69.5074300825,69.7522435161,4234383.0
2016-11-28,70.93,71.52,70.8,71.19,7099193.0,0.0,1.0,69.4584673957,70.0362270992,69.3311644102,69.7130733667,7099193.0
2016-11-29,71.38,71.79,71.2,71.37,7310014.0,0.0,1.0,69.8991315763,70.3006256075,69.7228659041,69.889339039,7310014.0
2016-11-30,70.92,71.16,70.165,70.43,9325187.0,0.0,1.0,69.4486748584,69.6836957547,68.7093382888,68.9688405284,9325187.0
2016-12-01,70.25,70.73,70.05,70.67,6849693.0,0.0,1.0,68.7925748562,69.2626166488,68.5967241093,69.2038614248,6849693.0
2016-12-02,70.58,70.95,70.45,70.88,6674206.0,0.0,1.0,69.1157285886,69.4780524704,68.9884256031,69.409504709,6674206.0
2016-12-05,70.9,70.99,69.81,69.94,10527877.0,0.0,1.0,69.4290897837,69.5172226198,68.361703213,68.4890061985,10527877.0
2016-12-06,70.01,70.39,69.5,70.36,7778009.0,0.0,1.0,68.5575539599,68.9296703791,68.0581345553,68.900292767,7778009.0
2016-12-07,69.93,70.65,69.9,70.6,6966249.0,0.5,1.0,68.9641939279,69.6742499786,68.9346082591,69.6249405306,6966249.0
2016-12-08,70.48,70.9,70.32,70.34,6844192.0,0.0,1.0,69.5065978555,69.9207972184,69.348807622,69.3685314012,6844192.0
2016-12-09,70.27,70.43,69.74,70.08,10756653.0,0.0,1.0,69.299498174,69.4572884075,68.7768180256,69.1121222718,10756653.0
2016-12-12,70.07,71.78,70.02,71.67,9083716.0,0.0,1.0,69.1022603822,70.7886435027,69.0529509342,70.6801627171,9083716.0
2016-12-13,71.67,72.23,71.61,71.8,8887510.0,0.0,1.0,70.6801627171,71.2324285344,70.6209913796,70.8083672819,8887510.0
2016-12-14,71.9,72.48,71.18,71.34,8668778.0,0.0,1.0,70.9069861778,71.4789757742,70.1969301271,70.3547203606,8668778.0
2016-12-15,71.22,71.8,71.03,71.08,7136295.0,0.0,1.0,70.2363776854,70.8083672819,70.0490017832,70.0983112311,7136295.0
2016-12-16,71.07,71.64,70.595,70.98,17832196.0,0.0,1.0,70.0884493415,70.6505770484,69.6200095858,69.9996923352,17832196.0
2016-12-19,70.84,71.749,70.84,71.58,5889328.0,0.0,1.0,69.8616258809,70.7580716449,69.8616258809,70.5914057108,5889328.0
2016-12-20,71.73,71.9332,71.51,71.82,6108070.0,0.0,1.0,70.7393340547,70.9397276512,70.5223724836,70.828091061,6108070.0
2016-12-21,71.66,72.0,71.24,71.24,5100967.0,0.0,1.0,70.6703008276,71.0056050737,70.2561014646,70.2561014646,5100967.0
2016-12-22,71.24,71.24,69.21,69.59,12106081.0,0.0,1.0,70.2561014646,70.2561014646,68.2541378771,68.6288896817,12106081.0
2016-12-23,69.43,69.749,69.36,69.54,4803947.0,0.0,1.0,68.4710994482,68.7856937262,68.402066221,68.5795802337,4803947.0
2016-12-27,69.3,69.815,69.25,69.7,4435668.0,0.0,1.0,68.3428948835,68.8507821975,68.2935854355,68.7373704672,4435668.0
2016-12-28,69.94,70.0,69.26,69.31,4875301.0,0.0,1.0,68.9740558175,69.033227155,68.3034473251,68.3527567731,4875301.0
2016-12-29,69.21,69.52,69.12,69.26,4298446.0,0.0,1.0,68.2541378771,68.5598564545,68.1653808708,68.3034473251,4298446.0
2016-12-30,69.12,69.43,68.83,69.12,6889478.0,0.0,1.0,68.1653808708,68.4710994482,67.8793860726,68.1653808708,6889478.0
2017-01-03,69.24,69.24,68.05,68.66,10473162.0,0.0,1.0,68.2837235459,68.2837235459,67.1101586843,67.7117339495,10473162.0
2017-01-04,68.66,69.63,68.6,69.06,7914476.0,0.0,1.0,67.7117339495,68.6683372401,67.6525626119,68.1062095332,7914476.0
